Well,Sample ID,Range,ng/uL,% Total,nmole/L,Avg. Size,%CV,Size Threshold (b.p.),DQN,
H6,SampH6,150 bp to 270 bp,0,0,NaN,NaN,NaN,300,10,
H6,SampH6,150 bp to 1000 bp,0.0048,1,0.0115,691,26.42,300,10,
H6,SampH6,200 bp to 1000 bp,0.0048,1,0.0115,691,26.42,300,10,
H6,SampH6,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,10,
H6,SampH6,800 bp to 3000 bp,0.3045,64.5,0.235,2133,24.79,300,10,
H6,SampH6,270 bp to 550 bp,0.0008,0.2,0.0027,517,4.1,300,10,
H6,SampH6,270 bp to 680 bp,0.0033,0.7,0.0096,571,6.08,300,10,
H7,SampH7,150 bp to 270 bp,0,0,NaN,NaN,NaN,300,10,
H7,SampH7,150 bp to 1000 bp,0.0067,1.5,0.0318,346,14.49,300,10,
H7,SampH7,200 bp to 1000 bp,0.0067,1.5,0.0318,346,14.49,300,10,
H7,SampH7,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,10,
H7,SampH7,800 bp to 3000 bp,0.2739,61.1,0.2066,2183,22.81,300,10,
H7,SampH7,270 bp to 550 bp,0.0067,1.5,0.0318,346,14.49,300,10,
H7,SampH7,270 bp to 680 bp,0.0067,1.5,0.0318,346,14.49,300,10,
H8,SampH8,150 bp to 270 bp,0,0,NaN,NaN,NaN,300,10,
H8,SampH8,150 bp to 1000 bp,0,0,NaN,NaN,NaN,300,10,
H8,SampH8,200 bp to 1000 bp,0,0,NaN,NaN,NaN,300,10,
H8,SampH8,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,10,
H8,SampH8,800 bp to 3000 bp,0.288,62.8,0.2178,2177,22.97,300,10,
H8,SampH8,270 bp to 550 bp,0,0,NaN,NaN,NaN,300,10,
H8,SampH8,270 bp to 680 bp,0,0,NaN,NaN,NaN,300,10,
H9,SampH9,150 bp to 270 bp,0,0,NaN,NaN,NaN,300,10,
H9,SampH9,150 bp to 1000 bp,0.0412,6.8,0.1088,623,26.43,300,10,
H9,SampH9,200 bp to 1000 bp,0.0412,6.8,0.1088,623,26.43,300,10,
H9,SampH9,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,10,
H9,SampH9,800 bp to 3000 bp,0.35,57.9,0.2784,2069,27.4,300,10,
H9,SampH9,270 bp to 550 bp,0.0173,2.9,0.0568,502,5.98,300,10,
H9,SampH9,270 bp to 680 bp,0.0315,5.2,0.0968,536,8.36,300,10,
H10,SampH10,150 bp to 270 bp,0,0,NaN,NaN,NaN,300,10,
H10,SampH10,150 bp to 1000 bp,0.0033,0.7,0.0059,919,4.25,300,10,
H10,SampH10,200 bp to 1000 bp,0.0033,0.7,0.0059,919,4.25,300,10,
H10,SampH10,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,10,
H10,SampH10,800 bp to 3000 bp,0.3127,64.7,0.2436,2113,25.6,300,10,
H10,SampH10,270 bp to 550 bp,0,0,NaN,NaN,NaN,300,10,
H10,SampH10,270 bp to 680 bp,0,0,NaN,NaN,NaN,300,10,
H11,SampH11,150 bp to 270 bp,0,0,NaN,NaN,NaN,300,10,
H11,SampH11,150 bp to 1000 bp,0.0006,0.1,0.0015,632,32.6,300,10,
H11,SampH11,200 bp to 1000 bp,0.0006,0.1,0.0015,632,32.6,300,10,
H11,SampH11,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,10,
H11,SampH11,800 bp to 3000 bp,0.2574,60.7,0.1924,2202,22.6,300,10,
H11,SampH11,270 bp to 550 bp,0.0004,0.1,0.0012,490,0.21,300,10,
H11,SampH11,270 bp to 680 bp,0.0004,0.1,0.0012,490,0.21,300,10,
H12,SampH12,,,,,,,,,
